Order ID,Customer ID,Product ID,Region,Order Date,Sales
CA-2017-152156,CG-12520,FUR-BO-10001798,South,2017-11-08,261.96
CA-2017-152156,CG-12520,FUR-CH-10000454,South,2017-11-08,731.94
CA-2017-138688,DV-13045,OFF-LA-10000240,West,2017-06-12,14.62
US-2016-108966,SO-20335,FUR-TA-10000577,South,2016-10-11,957.5775
US-2016-108966,SO-20335,OFF-ST-10000760,South,2016-10-11,22.368
CA-2015-115812,BH-11710,FUR-FU-10001487,West,2015-06-09,48.86
CA-2015-115812,BH-11710,OFF-AR-10002833,West,2015-06-09,7.28
CA-2015-115812,BH-11710,TEC-PH-10002275,West,2015-06-09,907.152
CA-2015-115812,BH-11710,OFF-BI-10003910,West,2015-06-09,18.504
CA-2015-115812,BH-11710,OFF-AP-10002892,West,2015-06-09,114.9
CA-2015-115812,BH-11710,FUR-TA-10001539,West,2015-06-09,1706.184
CA-2015-115812,BH-11710,TEC-PH-10002033,West,2015-06-09,911.424
CA-2018-114412,AA-10480,OFF-PA-10002365,South,2018-04-15,15.552
CA-2017-161389,IM-15070,OFF-BI-10003656,West,2017-12-05,407.976
US-2016-118983,HP-14815,OFF-AP-10002311,Central,2016-11-22,68.81
US-2016-118983,HP-14815,OFF-BI-10000756,Central,2016-11-22,2.544
CA-2015-105893,PK-19075,OFF-ST-10004186,Central,2015-11-11,665.88
CA-2015-167164,AG-10270,OFF-ST-10000107,West,2015-05-13,55.5
CA-2015-143336,ZD-21925,OFF-AR-10003056,West,2015-08-27,8.56
CA-2015-143336,ZD-21925,TEC-PH-10001949,West,2015-08-27,213.48
CA-2015-143336,ZD-21925,OFF-BI-10002215,West,2015-08-27,22.72
CA-2017-137330,KB-16585,OFF-AR-10000246,Central,2017-12-09,19.46
CA-2017-137330,KB-16585,OFF-AP-10001492,Central,2017-12-09,60.34
US-2018-156909,SF-20065,FUR-CH-10002774,East,2018-07-16,71.372
CA-2016-106320,EB-13870,FUR-TA-10000577,West,2016-09-25,1044.63
CA-2017-121755,EH-13945,OFF-BI-10001634,West,2017-01-16,11.648
CA-2017-121755,EH-13945,TEC-AC-10003027,West,2017-01-16,90.57
US-2016-150630,TB-21520,FUR-BO-10004834,East,2016-09-17,3083.43
US-2016-150630,TB-21520,OFF-BI-10000474,East,2016-09-17,9.618
US-2016-150630,TB-21520,FUR-FU-10004848,East,2016-09-17,124.2
US-2016-150630,TB-21520,OFF-EN-10001509,East,2016-09-17,3.264
US-2016-150630,TB-21520,OFF-AR-10004042,East,2016-09-17,86.304
US-2016-150630,TB-21520,OFF-BI-10001525,East,2016-09-17,6.858
US-2016-150630,TB-21520,OFF-AR-10001683,East,2016-09-17,15.76
CA-2018-107727,MA-17560,OFF-PA-10000249,Central,2018-10-19,29.472
CA-2017-117590,GH-14485,TEC-PH-10004977,Central,2017-12-08,1097.544
CA-2017-117590,GH-14485,FUR-FU-10003664,Central,2017-12-08,190.92
CA-2016-117415,SN-20710,OFF-EN-10002986,Central,2016-12-27,113.328
CA-2016-117415,SN-20710,FUR-BO-10002545,Central,2016-12-27,532.3992
CA-2016-117415,SN-20710,FUR-CH-10004218,Central,2016-12-27,212.058
CA-2016-117415,SN-20710,TEC-PH-10000486,Central,2016-12-27,371.168
CA-2018-120999,LC-16930,TEC-PH-10004093,Central,2018-09-10,147.168
CA-2017-101343,RA-19885,OFF-ST-10003479,West,2017-07-17,77.88
CA-2018-139619,ES-14080,OFF-ST-10003282,South,2018-09-19,95.616
CA-2017-118255,ON-18715,TEC-AC-10000171,Central,2017-03-11,45.98
CA-2017-118255,ON-18715,OFF-BI-10003291,Central,2017-03-11,17.46
CA-2015-146703,PO-18865,OFF-ST-10001713,Central,2015-10-20,211.96
CA-2017-169194,LH-16900,TEC-AC-10002167,East,2017-06-20,45.0
CA-2017-169194,LH-16900,TEC-PH-10003988,East,2017-06-20,21.8
CA-2016-115742,DP-13000,OFF-BI-10004410,Central,2016-04-18,38.22
CA-2016-115742,DP-13000,OFF-LA-10002762,Central,2016-04-18,75.18
CA-2016-115742,DP-13000,FUR-FU-10001706,Central,2016-04-18,6.16
CA-2016-115742,DP-13000,FUR-CH-10003061,Central,2016-04-18,89.99
CA-2017-105816,JM-15265,OFF-FA-10000304,East,2017-12-11,15.26
CA-2017-105816,JM-15265,TEC-PH-10002447,East,2017-12-11,1029.95
CA-2017-111682,TB-21055,OFF-ST-10000604,East,2017-06-17,208.56
CA-2017-111682,TB-21055,OFF-PA-10001569,East,2017-06-17,32.4
CA-2017-111682,TB-21055,FUR-CH-10003968,East,2017-06-17,319.41
CA-2017-111682,TB-21055,OFF-PA-10000587,East,2017-06-17,14.56
CA-2017-111682,TB-21055,TEC-AC-10002167,East,2017-06-17,30.0
CA-2017-111682,TB-21055,OFF-BI-10001460,East,2017-06-17,48.48
CA-2017-111682,TB-21055,OFF-AR-10001868,East,2017-06-17,1.68
CA-2016-135545,KM-16720,TEC-AC-10004633,West,2016-11-24,13.98
CA-2016-135545,KM-16720,OFF-BI-10001078,West,2016-11-24,25.824
CA-2016-135545,KM-16720,OFF-PA-10003892,West,2016-11-24,146.73
CA-2016-135545,KM-16720,FUR-FU-10000397,West,2016-11-24,79.76
US-2016-164175,PS-18970,FUR-CH-10001146,Central,2016-04-30,213.115
CA-2015-106376,BS-11590,OFF-AR-10002671,West,2015-12-05,1113.024
CA-2015-106376,BS-11590,TEC-PH-10002726,West,2015-12-05,167.968
CA-2017-119823,KD-16270,OFF-PA-10000482,South,2017-06-04,75.88
CA-2017-106075,HM-14980,OFF-BI-10004654,East,2017-09-18,4.616
CA-2018-114440,TB-21520,OFF-PA-10004675,Central,2018-09-14,19.05
US-2016-134026,JE-15745,FUR-CH-10000513,South,2016-04-26,831.936
US-2016-134026,JE-15745,FUR-FU-10003708,South,2016-04-26,97.04
US-2016-134026,JE-15745,OFF-ST-10004123,South,2016-04-26,72.784
US-2018-118038,KB-16600,OFF-BI-10004182,Central,2018-12-09,1.248
US-2018-118038,KB-16600,FUR-FU-10000260,Central,2018-12-09,9.708
US-2018-118038,KB-16600,OFF-ST-10000615,Central,2018-12-09,27.24
US-2015-147606,JE-15745,FUR-FU-10003194,Central,2015-11-26,19.3
CA-2017-127208,SC-20770,OFF-AP-10002118,South,2017-06-12,208.16
CA-2017-127208,SC-20770,OFF-BI-10002309,South,2017-06-12,16.74
CA-2015-139451,DN-13690,OFF-AR-10002053,West,2015-10-12,14.9
CA-2015-139451,DN-13690,OFF-ST-10002370,West,2015-10-12,21.39
CA-2016-149734,JC-16105,OFF-EN-10000927,South,2016-09-03,200.984
US-2018-119662,CS-12400,OFF-ST-10003656,Central,2018-11-13,230.376
CA-2018-140088,PO-18865,FUR-CH-10000863,South,2018-05-28,301.96
CA-2018-155558,PG-18895,TEC-AC-10001998,Central,2018-10-26,19.99
CA-2018-155558,PG-18895,OFF-LA-10000134,Central,2018-10-26,6.16
CA-2017-159695,GM-14455,OFF-ST-10003442,Central,2017-04-05,158.368
CA-2017-109806,JS-15685,OFF-AR-10004930,West,2017-09-17,20.1
CA-2017-109806,JS-15685,TEC-PH-10004093,West,2017-09-17,73.584
CA-2017-109806,JS-15685,OFF-PA-10000304,West,2017-09-17,6.48
CA-2016-149587,KB-16315,OFF-PA-10003177,Central,2016-01-31,12.96
CA-2016-149587,KB-16315,FUR-FU-10003799,Central,2016-01-31,53.34
CA-2016-149587,KB-16315,OFF-BI-10002852,Central,2016-01-31,32.96
US-2018-109484,RB-19705,OFF-BI-10004738,West,2018-11-06,5.682
CA-2018-161018,PN-18775,FUR-FU-10000629,East,2018-11-09,96.53
CA-2018-157833,KD-16345,OFF-BI-10001721,West,2018-06-17,51.312
CA-2017-149223,ER-13855,OFF-AP-10000358,Central,2017-09-06,77.88
CA-2017-158568,RB-19465,OFF-PA-10003256,Central,2017-08-29,64.624
CA-2017-158568,RB-19465,TEC-AC-10001767,Central,2017-08-29,95.976
CA-2017-158568,RB-19465,OFF-BI-10002609,Central,2017-08-29,1.788
CA-2017-129903,GZ-14470,OFF-PA-10004040,Central,2017-12-01,23.92
US-2016-156867,LC-16870,TEC-AC-10001552,West,2016-11-13,238.896
US-2016-156867,LC-16870,FUR-FU-10004006,West,2016-11-13,102.36
US-2016-156867,LC-16870,OFF-BI-10002794,West,2016-11-13,36.882
CA-2018-119004,JM-15250,TEC-AC-10003499,South,2018-11-23,74.112
CA-2018-119004,JM-15250,TEC-PH-10002844,South,2018-11-23,27.992
CA-2018-119004,JM-15250,OFF-AR-10000390,South,2018-11-23,3.304
CA-2016-129476,PA-19060,TEC-AC-10000844,Central,2016-10-15,339.96
CA-2018-146780,CV-12805,FUR-FU-10001934,East,2018-12-25,41.96
CA-2017-128867,CL-12565,OFF-AR-10000380,Central,2017-11-03,75.96
CA-2017-128867,CL-12565,OFF-BI-10003981,Central,2017-11-03,27.24
CA-2015-115259,RC-19960,OFF-FA-10000621,East,2015-08-25,40.096
CA-2015-115259,RC-19960,OFF-EN-10002600,East,2015-08-25,4.72
CA-2015-115259,RC-19960,OFF-PA-10004965,East,2015-08-25,23.976
CA-2015-115259,RC-19960,OFF-EN-10002504,East,2015-08-25,130.464
CA-2016-110457,DK-13090,FUR-TA-10001768,West,2016-03-02,787.53
US-2016-136476,GG-14650,OFF-BI-10003650,South,2016-04-05,157.794
CA-2017-103730,SC-20725,FUR-FU-10002157,East,2017-06-12,47.04
CA-2017-103730,SC-20725,OFF-BI-10003910,East,2017-06-12,30.84
CA-2017-103730,SC-20725,OFF-ST-10000777,East,2017-06-12,226.56
CA-2017-103730,SC-20725,OFF-EN-10002500,East,2017-06-12,115.02
CA-2017-103730,SC-20725,TEC-PH-10003875,East,2017-06-12,68.04
US-2015-152030,AD-10180,FUR-CH-10004063,Central,2015-12-26,600.558
US-2015-134614,PF-19165,FUR-TA-10004534,Central,2015-09-20,617.7
US-2018-107272,TS-21610,OFF-BI-10003274,West,2018-11-05,2.388
US-2018-107272,TS-21610,OFF-ST-10002974,West,2018-11-05,243.992
US-2017-125969,LS-16975,FUR-CH-10001146,West,2017-11-06,81.424
US-2017-125969,LS-16975,FUR-FU-10003773,West,2017-11-06,238.56
